continent,lifeExp,pop,gdpPercap
Africa,54.80603846153846,17875763.307692308,3089.0326047365384
Americas,73.60812,35954847.36,11003.03162536
Asia,70.72848484848485,115513752.33333333,12473.026870133333
Europe,77.6486,19536617.633333333,25054.481635933334
Oceania,80.7195,12274973.5,29810.188275
